Country / Region,Disease,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Sudan,Measles,"1,337","1,377","1,575",,401,"3,555","4,980",665,"1,767","3,585",676,"2,813","8,523","5,616",680,68,129,327,228,"1,374","9,562","4,381","4,529","4,362","2,875"
Suriname,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,Measles,38,11,5,0,5,20,43,41,3,22,26,51,30,26,6,3,25,1,19,13,5,3,9,5,59
Switzerland,Measles,97,52,1,0,37,244,50,105,65,35,23,175,61,621,77,958,"2,022","1,015",,60,39,574,,700,
Syrian Arab Republic,Measles,128,744,217,11,15,27,329,737,66,45,594,740,13,13,26,22,19,403,517,375,189,801,538,290,146
Tajikistan,Measles,0,294,454,10,168,7,0,654,52,3,0,1,16,1,0,0,0,2,3,,4,"2,144",927,38,192
Thailand,Measles,"8,202",64,64,,,"5,412","6,035","1,946",652,154,,"2,641","5,197","3,156","2,583","6,071","7,790","3,893","3,588","3,526","4,165","4,519","10,315","7,319","4,074"
Timor-Leste,Measles,2,7,8,,2,22,0,0,2,43,47,4,16,763,50,10,0,0,90,203,41,94,0,,
Togo,Measles,353,686,722,82,91,69,38,46,15,20,577,564,238,187,120,425,187,8,26,38,61,295,363,"1,833","3,578"
Tokelau,Measles,0,,,,,0,0,5,,,,,0,0,0,0,,,,0,0,0,,0,0
Tonga,Measles,0,12,,,,659,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Trinidad and Tobago,Measles,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,Measles,16,10,11,7,20,"4,669",13,5,7,16,15,16,48,11,1,1,2,4,3,15,1,22,98,231,47
Turkmenistan,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,48,0,1,1,11,9,113
Turks and Caicos Islands,Measles,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0
Tuvalu,Measles,,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Türkiye,Measles,"1,582","5,088",103,,,"2,904",716,84,9,342,565,"7,405",349,111,7,4,0,3,34,"6,200","8,927","5,844","7,823","30,509","16,244"
Uganda,Measles,"2,180",399,52,606,314,920,"2,627","1,021",139,478,314,"7,878","2,027","3,312","1,313","1,601","1,319","3,776","5,736",22,141,"29,429","49,871","48,543","42,554"
Ukraine,Measles,433,66,11,16,264,"57,282","53,219","4,782",102,105,,,"12,746","1,333",39,,48,"1,005","42,724","2,392",146,411,"7,587","16,970",817
